               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039844,            0.033145,            0.035085,             0.32336,             0.38947,             0.26686,             0.13219,            0.027942,            0.014385,           0.0051118,              0.0025,              0.0025,              0.0775
                   1,            0.035513,            0.022278,           0.0071651,             0.50809,             0.61053,             0.58771,             0.29887,            0.026139,            0.011143,            0.001495,           0.0049738,           0.0049738,            0.053974
                   2,            0.039629,            0.021956,            0.004857,              0.3051,             0.61932,             0.39892,             0.22292,            0.035974,           0.0093603,          0.00099206,           0.0073188,           0.0073188,            0.030319
                   3,            0.042151,            0.019242,           0.0036789,             0.30474,             0.46316,             0.34069,             0.10794,            0.049892,            0.009041,          0.00098737,           0.0092575,           0.0092575,           0.0092575
                   4,            0.045259,            0.016923,           0.0035181,             0.45024,             0.36842,             0.32686,             0.16814,              0.0414,            0.011867,           0.0033817,           0.0092575,           0.0092575,           0.0092575
                   5,            0.041157,            0.016533,           0.0047785,             0.41991,             0.52632,             0.43124,             0.23391,            0.038742,            0.010358,            0.001676,             0.00901,             0.00901,             0.00901
                   6,            0.039888,            0.015238,            0.003173,             0.54956,             0.56842,             0.61627,              0.2977,            0.034568,           0.0089436,           0.0017947,           0.0087625,           0.0087625,           0.0087625
                   7,            0.041479,             0.01557,           0.0029257,              0.5932,             0.65263,             0.66222,              0.3334,             0.02681,           0.0092475,           0.0016918,            0.008515,            0.008515,            0.008515
                   8,            0.038014,            0.015783,            0.002755,             0.56305,             0.67368,              0.6377,             0.33313,            0.030003,           0.0087131,            0.001596,           0.0082675,           0.0082675,           0.0082675
                   9,            0.032651,            0.017251,           0.0023357,             0.68245,             0.69474,             0.68855,             0.36173,            0.026193,           0.0085893,           0.0015746,             0.00802,             0.00802,             0.00802
                  10,            0.035464,            0.015894,           0.0025411,             0.62305,             0.78947,             0.71514,             0.41346,            0.028365,           0.0079493,             0.00126,           0.0077725,           0.0077725,           0.0077725
                  11,            0.039515,             0.01547,           0.0024115,             0.70627,             0.77895,             0.77482,             0.45926,            0.028098,           0.0075352,           0.0012096,            0.007525,            0.007525,            0.007525
                  12,              0.0403,            0.014825,           0.0017988,             0.65302,             0.71579,             0.64846,             0.29818,            0.034989,           0.0074712,           0.0010525,           0.0072775,           0.0072775,           0.0072775
                  13,            0.044946,            0.016617,             0.00199,             0.73684,             0.76634,             0.78843,             0.38092,            0.028898,           0.0078749,           0.0010804,             0.00703,             0.00703,             0.00703
